Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"New Haven, CT",wholesale,wholesale,424490,ASK WHOLESALERS & DISTRIBUTORS,"125 Masarik Ave, Stratford, CT 06615, USA",(203) 375-0222,http://askwholesalers.com/,41.1743279,-73.14548529999999,4.6,11.0,ChIJDZHsG5AN6IkRi4VWZrIzuVg,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,TLC Wholesale Nursery,"742 Main St, Monroe, CT 06468, USA",(203) 268-6964,https://www.tlcwholesalenursery.com/,41.3412734,-73.2596688,4.3,16.0,ChIJFStmgcbi54kRTNM-YjOYHm8,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,A Better Way Wholesale Autos,"49 Raytkwich Rd, Naugatuck, CT 06770, USA",(203) 720-5600,https://www.abwautos.com/,41.5121421,-73.02181589999999,3.8,4035.0,ChIJ0zUrpWbC54kRK92OWQGpWfk,"car_dealer, car_repair, finance, point_of_interest, store, establishment"
"New Haven, CT",wholesale,wholesale,424490,AAA Wholesale,"330 Old Gate Ln, Milford, CT 06460, USA",(203) 590-2222,https://aaawholesale.com/,41.2347173,-73.0284336,4.6,38.0,ChIJKxv-lVJ16IkR5RsjRZlCEXc,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,Infinity Wholesale Corp,"2095 S Main St, Waterbury, CT 06706, USA",,,41.5275303,-73.03992079999999,5.0,2.0,ChIJebrf2mzB54kRvVciOc3ZtYo,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,Colorblends Wholesale Flowerbulbs,"747 Barnum Ave, Bridgeport, CT 06608, USA",(888) 847-8637,http://www.colorblends.com/,41.1872966,-73.1750229,4.6,22.0,ChIJD6ZMRNMN6IkRc7cERNtlFDc,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424410,BJ's Wholesale Club,"1046 N Colony Rd, Wallingford, CT 06492, USA",(203) 626-4412,https://www.bjs.com/cl/wallingford/0173/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0173%7Cstore%7C20240816,41.4945818,-72.80788919999999,3.5,210.0,ChIJR4z27lnJ54kRYUTMHQn3gz0,"gas_station, electronics_store, car_repair, bakery, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"New Haven, CT",wholesale,wholesale,424490,Shark Wholesale Inc,"261 River St, Bridgeport, CT 06604, USA",(203) 306-5666,,41.19727640000001,-73.1909996,,,ChIJ2_JBq4UO6IkRxynQPVmIn3c,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,Sound Auto Wholesalers,"139 W Main St #1, Branford, CT 06405, USA",(203) 466-2622,http://www.soundautowholesalers.com/,41.277246,-72.8565879,4.8,1979.0,ChIJwz5xBZbX54kRGGiQLGmxY6o,"car_dealer, point_of_interest, store, establishment"
"New Haven, CT",wholesale,wholesale,424410,BJ's Wholesale Club,"75 Spring St, Southington, CT 06489, USA",(860) 609-4757,https://www.bjs.com/cl/southington/0203/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0203%7Cstore%7C20240816,41.63539290000001,-72.8781379,4.0,223.0,ChIJmXQPqTi354kRKMrYxfX-tmw,"gas_station, liquor_store, electronics_store, car_repair, bakery, grocery_or_supermarket, health, point_of_interest, food, store, establishment"
"New Haven, CT",wholesale,wholesale,424490,HHH Wholesale Inc,"33-39 John St, New Britain, CT 06051, USA",(860) 438-7377,http://hhhwholesaleinc.com/,41.6638069,-72.7727319,5.0,4.0,ChIJ2-tbYFGz54kRu8yxvPVyPN8,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,Northeastern Wholesale Distributors,"222 Universal Dr Building # 5, North Haven, CT 06473, USA",(203) 745-3696,https://northeasterndistributor.com/,41.342136,-72.8720196,3.0,4.0,ChIJEXe_woHR54kR_o6_tupoPCU,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424490,"Connecticut Distributors, Inc.","333 Lordship Blvd, Stratford, CT 06615, USA",(203) 377-1440,,41.1703185,-73.1539376,4.1,23.0,ChIJJxdGRLkN6IkRQEcBFy3b_N0,"point_of_interest, food, establishment"
"New Haven, CT",wholesale,wholesale,424490,Prides Corner Farms - Wholesale Yard,"600 Main St, Cromwell, CT 06416, USA",(860) 468-0525,http://www.pridescorner.com/,41.624375,-72.6527815,4.1,10.0,ChIJk70gL2VM5okRC8FWwuQiTT0,"point_of_interest, establishment"
"New Haven, CT",wholesale,wholesale,424410,BJ's Wholesale Club,"555 Universal Dr N, North Haven, CT 06473, USA",(203) 234-6000,https://www.bjs.com/cl/north-haven/0093/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0093%7Cstore%7C20240816,41.3587845,-72.87028049999999,4.1,517.0,ChIJvTE0v-vQ54kRVDsWCaARSlE,"gas_station, grocery_or_supermarket, electronics_store, bakery, car_repair, health, food, point_of_interest, store, establishment"
"New Haven, CT",wholesale,wholesale,424410,BJ's Wholesale Club,"40 Black Rock Tpke, Fairfield, CT 06825, USA",(203) 384-9113,https://www.bjs.com/cl/fairfield/0031/?trc=locl%7Cggmb%7Cweb%7Cxlob%7Cxlob%7Clocdist%7C0031%7Cstore%7C20240816,41.1625537,-73.2296882,3.7,272.0,ChIJnXBVn9QP6IkRPKWVcR9RBto,"liquor_store, grocery_or_supermarket, electronics_store, bakery, car_repair, health, food, point_of_interest, store, establishment"
"New Haven, CT",wholesale,wholesale,424490,PriceMark Distributors,"40 Front Ave, West Haven, CT 06516, USA",(203) 433-0111,,41.2851143,-72.9497015,5.0,1.0,ChIJHdobkaXZ54kRCCNBHWsh77Q,"point_of_interest, establishment"
